model,sort_order,sha256,seq_len,h1_nat,h2_nat,h_bigram_nat,d_h1_nat,d_h2_nat,d_h_bigram_nat,spatial_gap_median,spatial_gap_mean,spatial_gap_p90,seq_face_adj_frac,seq_26_adj_frac,seq_consec_eucl_mean,seq_consec_eucl_median
our_sparse_sdf_vqvae,pre_morton,9b96390db3b03635d2f1a08c7c1fb1633780ce17a8994840467af46498484541,1944,6.854641003354795,6.481809484504661,7.427966984374914,nan,nan,nan,14.0,25.126280892103676,77.89999999999964,0.6273803396809058,0.629439011837365,0.1292638858103331,0.015625
our_sparse_sdf_vqvae,post_morton,9b96390db3b03635d2f1a08c7c1fb1633780ce17a8994840467af46498484541,1944,6.854641003354796,6.481809484504669,7.476874527030617,1.7763568394002505e-15,7.993605777301127e-15,0.048907542655703296,4.0,36.46036769138035,41.0,0.5398867730313948,0.7931034482758621,0.03033719582763473,0.015625
shapellm_vqvae3d,pre_morton,9b96390db3b03635d2f1a08c7c1fb1633780ce17a8994840467af46498484541,1024,5.478732796706923,4.866044015075548,6.738160489626375,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,9b96390db3b03635d2f1a08c7c1fb1633780ce17a8994840467af46498484541,1024,5.478732796706927,4.866044015075548,6.779990084078523,4.440892098500626e-15,0.0,0.04182959445214873,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,480ba1dd3d1b6ccdc88400ba1420c90018e69af6e01b44231ccec1ece04a0ac2,2622,7.345342095668099,7.122913787777521,7.8478724114502265,nan,nan,nan,98.0,109.21182928195363,251.0,0.6314383822968332,0.6436474628004578,0.045639653750173585,0.015625
our_sparse_sdf_vqvae,post_morton,480ba1dd3d1b6ccdc88400ba1420c90018e69af6e01b44231ccec1ece04a0ac2,2622,7.345342095668103,7.122913787777521,7.848190626704177,4.440892098500626e-15,0.0,0.0003182152539507044,10.0,103.30362943878123,232.0,0.501335368180084,0.8515833651278139,0.026562818590194614,0.015625
shapellm_vqvae3d,pre_morton,480ba1dd3d1b6ccdc88400ba1420c90018e69af6e01b44231ccec1ece04a0ac2,1024,3.029476253180761,1.3112054031793334,3.713098697753349,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,480ba1dd3d1b6ccdc88400ba1420c90018e69af6e01b44231ccec1ece04a0ac2,1024,3.0294762531807624,1.3112054031793334,4.098999664676864,1.3322676295501878e-15,0.0,0.38590096692351494,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,ff4de719bc941f33d6e55616b524de956b7f26a36ca5224ae8e0219c0cd0643c,28270,8.291557811426856,8.031607194043023,10.24656020419367,nan,nan,nan,470.0,326.56738152485843,512.0,0.6502883016732109,0.6502883016732109,0.13552239014140627,0.015625
our_sparse_sdf_vqvae,post_morton,ff4de719bc941f33d6e55616b524de956b7f26a36ca5224ae8e0219c0cd0643c,28270,8.291557811426832,8.031607194043024,10.246216928502005,-2.3092638912203256e-14,1.7763568394002505e-15,-0.000343275691665923,12.0,315.32066334445045,384.0,0.4862924051080689,0.8652233895786904,0.025135634874432225,0.02209708691207961
shapellm_vqvae3d,pre_morton,ff4de719bc941f33d6e55616b524de956b7f26a36ca5224ae8e0219c0cd0643c,1024,6.2696327940544405,5.998907952126456,6.846476925883767,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,ff4de719bc941f33d6e55616b524de956b7f26a36ca5224ae8e0219c0cd0643c,1024,6.269632794054438,5.998907952126456,6.900681983992075,-2.6645352591003757e-15,0.0,0.054205058108308,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,44f4d1cd449350d64486cad7438dfd74ca8845b88d414cda968952dd827712f1,4920,7.506578400166399,7.217198402560755,8.489429820362778,nan,nan,nan,254.0,194.272417649451,397.0,0.6958731449481602,0.6987192518804635,0.042415515183724856,0.015625
our_sparse_sdf_vqvae,post_morton,44f4d1cd449350d64486cad7438dfd74ca8845b88d414cda968952dd827712f1,4920,7.5065784001663864,7.217198402560758,8.494447653641004,-1.2434497875801753e-14,2.6645352591003757e-15,0.005017833278225581,12.0,96.23848617324116,198.0,0.49969505997153896,0.8761943484448058,0.02492635549233638,0.02209708691207961
shapellm_vqvae3d,pre_morton,44f4d1cd449350d64486cad7438dfd74ca8845b88d414cda968952dd827712f1,1024,2.6061037566042655,1.19964867078773,3.809626492697679,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,44f4d1cd449350d64486cad7438dfd74ca8845b88d414cda968952dd827712f1,1024,2.606103756604266,1.19964867078773,3.735304411173981,4.440892098500626e-16,0.0,-0.07432208152369801,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
